Cliente,Veiculo,Data,Inicio,Fim,Registros CAN,Km Inicial,Km Final,Km Percorrido,Consumo Combustivel (L),Horas Motor,Media Km/L,Velocidade Media,Velocidade Maxima,Temperatura Motor Media,Temperatura Motor Maxima,Temperatura Ambiente Media,Pressao Ar Media,Pressao Ar Maxima,Economia Combustivel Media,Temperatura Cabine Media
Londrina,3028,28-06-2026,28-06-2026 22:58:36,28-06-2026 23:02:44,249,168925,168925,0,0.253,0,0,7.6938775510204085,15,44.1875,75,25,663.9432624113475,944,25334.20895522388,0
Londrina,3028,29-06-2026,29-06-2026 01:11:45,29-06-2026 01:23:34,709,168925,168927,2,1.249,0,1.6012810248198557,20.238805970149254,44,66.66037735849056,86,24.75,790.1492537313433,1048,17578.30065359477,
Londrina,3029,28-06-2026,28-06-2026 12:15:48,28-06-2026 23:40:02,27,169981,169981,0,0.001,0,0,0,0,86,86,43,912,928,0,0
Londrina,3033,29-06-2026,29-06-2026 02:59:27,29-06-2026 02:59:29,3,163649,163649,0,0,0,,0,0,83,83,25,808,808,17000,0
Londrina,3034,29-06-2026,29-06-2026 00:34:08,29-06-2026 00:34:34,26,155532,155532,0,0.015,0,0,0,0,31,31,0,589.3333333333334,616,0,0
Londrina,3038,29-06-2026,29-06-2026 02:54:30,29-06-2026 02:54:36,7,154412,154412,0,0,0,,0,0,80,80,28,48,48,0,0
Londrina,3039,29-06-2026,29-06-2026 02:54:29,29-06-2026 02:54:49,21,158674,158674,0,0,0,,0,0,86,86,25.5,389.6,416,12000,0
Londrina,3040,29-06-2026,29-06-2026 02:59:48,29-06-2026 02:59:56,9,177756,177756,0,0.059,0,0,0,0,53,84,27,344,376,0,0
Londrina,3042,28-06-2026,28-06-2026 06:27:31,28-06-2026 06:27:56,26,165933,165933,0,0.035,0,0,0,0,37,39,0,0,0,0,0
Londrina,3046,28-06-2026,28-06-2026 08:36:40,28-06-2026 08:43:02,190,155912,155912,0,0.798,0,0,0,0,60,82,23,927.6521739130435,992,0,0
Londrina,3047,27-06-2026,27-06-2026 22:54:25,27-06-2026 23:59:59,939,161733,161733,0,0.999,0,0,13.535315985130111,36,56.1764705882353,75,29.6,833.993265993266,1136,23450.70588235294,
Londrina,3047,28-06-2026,28-06-2026 00:00:00,28-06-2026 20:15:49,5610,161733,161748,15,7.429,0,2.0191142818683536,18.943582510578278,56,73.65760869565217,96,29.333333333333332,899.1683708248125,1152,18111.370491803278,0
Londrina,3051,29-06-2026,29-06-2026 01:04:58,29-06-2026 01:05:29,23,153767,153767,0,0.045,0,0,0,0,79.5,81,22,912,912,0,0
Londrina,3052,29-06-2026,29-06-2026 02:57:05,29-06-2026 02:57:09,5,149670,149670,0,0,0,,0,0,82,82,30,392,392,0,0
Londrina,3053,29-06-2026,29-06-2026 02:55:29,29-06-2026 02:55:34,4,167476,167476,0,0,0,,0,0,84,84,25,372,376,0,0
Londrina,3060,27-06-2026,27-06-2026 20:00:00,27-06-2026 21:16:32,1627,223486,223490,4,2.336,0,1.7123287671232879,20.26865671641791,58,85.11111111111111,93,32.810810810810814,867.2929292929293,1072,17849.668839634942,
Londrina,3060,28-06-2026,28-06-2026 04:48:18,28-06-2026 23:59:59,56116,223490,223930,440,131.394,15,3.3487069424783473,28.913431369874225,79,86.79237463738086,98,25.06256627783669,910.1285740302313,1104,16970.818792602186,0
Londrina,3060,29-06-2026,29-06-2026 00:00:00,29-06-2026 01:16:23,4256,223930,223952,22,6.472,1,3.399258343634116,28.641888225718937,71,86.13333333333334,94,28.985915492957748,909.4777376654633,1096,18306.467461044915,
Londrina,3061,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,11774,169806,169873,67,29.132,3,2.2998764245503227,24.146700575558828,63,85.74342928660826,94,25.92664092664093,938.0164962058726,1032,17165.60848202741,
Londrina,3061,28-06-2026,28-06-2026 00:00:00,28-06-2026 00:38:08,2139,169873,169883,10,4.493,,2.2256843979523704,25.995704467353953,69,85.0609756097561,94,24.363636363636363,939.7021276595744,1032,17537.144792548686,
Londrina,3061,29-06-2026,29-06-2026 02:48:50,29-06-2026 02:48:54,5,169883,169883,0,0,0,,0,0,85,85,25,424,424,4464,0
Londrina,3062,28-06-2026,28-06-2026 01:27:09,28-06-2026 20:47:16,190,199626,199627,1,37356.321,11397,0.000026769231370508887,8.127272727272727,31,54,83,22,815.2727272727273,992,26500,0
Londrina,3065,27-06-2026,27-06-2026 21:15:02,27-06-2026 21:40:53,1548,,,,0.521,,,8.329411764705883,23,56.026315789473685,78,26.454545454545453,842.8725868725869,1200,26961.767441860466,
Londrina,3065,29-06-2026,29-06-2026 02:51:02,29-06-2026 02:51:08,7,240123,240123,0,0.165,0,0,0,0,23,23,24.5,424,424,0,0
Londrina,3066,29-06-2026,29-06-2026 02:53:03,29-06-2026 02:59:59,416,203436,203436,0,0.169,0,0,0,0,40.8,85,23,576.561403508772,696,0,0
